Code;Interest
IAB17-11;FlyFishing
IAB17-12;Football
IAB17-13;FreshwaterFishing
IAB17-14;Game&Fish
IAB17-15;Golf
IAB17-16;HorseRacing
IAB17-17;Horses
IAB17-18;Hunting/Shooting
IAB17-19;InlineSkating
IAB17-20;MartialArts
IAB17-21;MountainBiking
IAB17-22;NASCARRacing
IAB17-23;Olympics
IAB17-24;Paintball
IAB17-25;Power&Motorcycles
IAB17-26;ProBasketball
IAB17-27;ProIceHockey
IAB17-28;Rodeo
IAB17-29;Rugby
IAB17-30;Running/Jogging
IAB17-31;Sailing
IAB17-32;SaltwaterFishing
IAB17-33;ScubaDiving
IAB17-34;Skateboarding
IAB17-35;Skiing
IAB17-36;Snowboarding
IAB17-37;Surfing/Body-Boarding
IAB17-38;Swimming
IAB17-39;TableTennis/Ping-Pong
IAB17-40;Tennis
IAB17-41;Volleyball
IAB17-42;Walking
IAB17-43;Waterski/Wakeboard
IAB17-44;WorldSoccer
IAB18;Style&Fashion
IAB18-1;Beauty
IAB18-2;BodyArt
IAB18-3;Fashion
IAB18-4;Jewelry
IAB18-5;Clothing
IAB18-6;Accessories
IAB19;Technology&Computing
IAB19-1;3-DGraphics
IAB19-2;Animation
IAB19-3;AntivirusSoftware
IAB19-4;C/C++
IAB19-5;Cameras&Camcorders
IAB19-6;CellPhones
IAB19-7;ComputerCertification
IAB19-8;ComputerNetworking
IAB19-9;ComputerPeripherals
IAB19-10;ComputerReviews
IAB19-11;DataCenters
IAB19-12;Databases
IAB19-13;DesktopPublishing
IAB19-14;DesktopVideo
IAB19-15;Email
IAB19-16;GraphicsSoftware
IAB19-17;HomeVideo/DVD
IAB19-18;InternetTechnology
IAB19-19;Java
IAB19-20;JavaScript
IAB19-21;MacSupport
IAB19-22;MP3/MIDI
IAB19-23;NetConferencing
IAB19-24;NetforBeginners
IAB19-25;NetworkSecurity
IAB19-26;Palmtops/PDAs
IAB19-27;PCSupport
IAB19-28;Portable
IAB19-29;Entertainment
IAB19-30;Shareware/Freeware
IAB19-31;Unix
IAB19-32;VisualBasic
IAB19-33;WebClipArt
IAB19-34;WebDesign/HTML
IAB19-35;WebSearch
IAB19-36;Windows
IAB20;Travel
IAB20-1;AdventureTrave
IAB20-2;Africa
IAB20-3;AirTravel
IAB20-4;Australia&NewZealand
IAB20-5;Bed&Breakfasts
IAB20-6;BudgetTravel
IAB20-7;BusinessTravel
IAB20-8;ByUSLocale
IAB20-9;Camping
IAB20-10;Canada
IAB20-11;Caribbean
IAB20-12;Cruises
IAB20-13;EasternEurope
IAB20-14;Europe
IAB20-15;France
IAB20-16;Greece
IAB20-17;Honeymoons/Getaways
IAB20-18;Hotels
IAB20-19;Italy
IAB20-20;Japan
IAB20-21;Mexico&CentralAmerica
IAB20-22;NationalParks
IAB20-23;SouthAmerica
IAB20-24;Spas
IAB20-25;ThemeParks
IAB20-26;TravelingwithKids
IAB20-27;UnitedKingdom
IAB21;RealEstate
IAB21-1;Apartments
IAB21-2;Architects
IAB21-3;Buying/SellingHomes
IAB22;Shopping
IAB22-1;Contests&Freebies
IAB22-2;Couponing
IAB22-3;Comparison
IAB22-4;Engines
IAB23;Religion&Spirituality
IAB23-1;AlternativeReligions
IAB23-2;Atheism/Agnosticism
IAB23-3;Buddhism
IAB23-4;Catholicism
IAB23-5;Christianity
IAB23-6;Hinduism
IAB23-7;Islam
IAB23-8;Judaism
IAB23-9;Latter-DaySaints
IAB23-10;Pagan/Wiccan
IAB24;Uncategorized
IAB25;Non-StandardContent
IAB25-1;UnmoderatedUGC
IAB25-2;ExtremeGraphic/ExplicitViolence
IAB25-3;Pornography
IAB25-4;ProfaneContent
IAB25-5;HateContent
IAB25-6;UnderConstruction
IAB25-7;Incentivized
IAB26;IllegalContent
IAB26-1;IllegalContent
IAB26-2;Warez
IAB26-3;Spyware/Malware
IAB26-4;CopyrightInfringement
